WKT,nom,description
"POINT (23.9619099 38.1533146)",Point 1,
"POINT (23.9642703 38.150716)",Point 2,
"POINT (23.9638411 38.1490286)",Point 3,
"POINT (23.9695488 38.1231724)",Point 4,
"POINT (23.9696776 38.1225309)",Point 5,
"POINT (23.9697634 38.1040274)",Point 6,
"POINT (23.9696776 38.1034431)",Point 7,
"POINT (23.975557 38.0889646)",Point 8,
"POINT (23.9829814 38.0752838)",Point 9,
"POINT (23.9830243 38.0749459)",Point 10,
"POINT (23.9816939 38.0616004)",Point 11,
"POINT (23.9845263 38.0544029)",Point 12,
"POINT (23.9874016 38.0496718)",Point 13,
"POINT (23.9895474 38.0422027)",Point 14,
"POINT (23.990234 38.0408508)",Point 15,
"POINT (23.9904057 38.0394312)",Point 16,
"POINT (23.9896761 38.037775)",Point 17,
"POINT (23.9893757 38.036761)",Point 18,
"POINT (23.9890324 38.0363554)",Point 19,
"POINT (23.9850842 38.0338541)",Point 20,
"POINT (23.9843976 38.0320963)",Point 21,
"POINT (23.9822089 38.0279723)",Point 22,
"POINT (23.9822089 38.027499)",Point 23,
"POINT (23.9833247 38.0250312)",Point 24,
"POINT (23.982638 38.0216167)",Point 25,
"POINT (23.9807068 38.0186753)",Point 26,
"POINT (23.9784323 38.0173568)",Point 27,
"POINT (23.9773594 38.0150915)",Point 28,
"POINT (23.9769732 38.0144829)",Point 29,
"POINT (23.9732396 38.0116765)",Point 30,
"POINT (23.9685189 38.0101549)",Point 31,
"POINT (23.9640986 38.0079909)",Point 32,
"POINT (23.9607941 38.0081599)",Point 33,
"POINT (23.9582192 38.0070103)",Point 34,
"POINT (23.9557015 38.0064918)",Point 35,
"POINT (23.9543282 38.0058155)",Point 36,
"POINT (23.9520108 38.0053759)",Point 37,
"POINT (23.9413248 38.0021295)",Point 38,
"POINT (23.9382779 38.0013179)",Point 39,
"POINT (23.9299952 37.9979699)",Point 40,
"POINT (23.923515 37.9976318)",Point 41,
"POINT (23.9136445 37.9998638)",Point 42,
"POINT (23.9117991 38.0020619)",Point 43,
"POINT (23.91034 38.0026706)",Point 44,
"POINT (23.9070355 38.002603)",Point 45,
"POINT (23.9034306 38.002772)",Point 46,
"POINT (23.8911568 38.0046319)",Point 47,
"POINT (23.8835608 38.003516)",Point 48,
"POINT (23.8822115 38.0038203)",Point 49,
"POINT (23.8771046 38.0038542)",Point 50,
"POINT (23.8730496 38.0049189)",Point 51,
"POINT (23.8513345 38.0093486)",Point 52,
"POINT (23.8436161 38.0105126)",Point 53,
"POINT (23.8402257 38.0109522)",Point 54,
"POINT (23.838595 38.0116285)",Point 55,
"POINT (23.8306985 38.0137248)",Point 56,
"POINT (23.8218151 38.0136234)",Point 57,
"POINT (23.8201365 38.0135219)",Point 58,
"POINT (23.8103518 38.0111213)",Point 59,
"POINT (23.8008246 38.0071313)",Point 60,
"POINT (23.7985501 38.0067931)",Point 61,
"POINT (23.7955889 38.0055758)",Point 62,
"POINT (23.7915698 38.0025898)",Point 63,
"POINT (23.7874214 38.0011244)",Point 64,
"POINT (23.7793445 37.9955036)",Point 65,
"POINT (23.7712335 37.990904)",Point 66,
"POINT (23.7652683 37.9868452)",Point 67,
"POINT (23.7601184 37.9849511)",Point 68,
"POINT (23.7585026 37.9834407)",Point 69,
"POINT (23.7563167 37.9823179)",Point 70,
"POINT (23.7547717 37.9807957)",Point 71,
"POINT (23.7519393 37.9781233)",Point 72,
"POINT (23.7405667 37.970241)",Point 73,
"POINT (23.7420258 37.9693229)",Point 74,
